X,Y,Z
-21.656931,-12.503635,90.826073
-21.170620,-12.222863,90.354746
-21.656530,-12.503403,90.257045
-21.170384,-12.222727,89.787287
-21.170264,-12.222658,89.503677
-21.170143,-12.222588,89.220145
-21.170021,-12.222518,88.936693
-21.169898,-12.222446,88.653322
-20.686530,-11.943374,88.189008
-20.686487,-11.943349,87.906495
-21.169521,-12.222229,87.803688
-21.169394,-12.222155,87.520635
-20.686351,-11.943270,87.059425
-20.686303,-11.943243,86.777224
-21.169003,-12.221930,86.671956
-20.686204,-11.943186,86.213064
-20.205828,-11.665840,85.756446
-20.686101,-11.943126,85.649219
-20.686047,-11.943095,85.367415
-20.685992,-11.943063,85.085689
-20.205936,-11.665903,84.632139
-20.205960,-11.665916,84.351258
-18.779840,-10.842546,83.563528
-19.728485,-11.390246,83.620666
-16.910069,-9.763033,82.346330
-20.685638,-11.942859,83.396981
-15.989190,-9.231363,81.471797
-19.728879,-11.390473,82.501277
-16.450405,-9.497646,81.082856
-15.991314,-9.232590,80.648835
-15.078996,-8.705862,80.059850
-15.535242,-8.969276,79.943459
-14.176226,-8.184648,79.204871
-14.177213,-8.185218,78.933501
-13.729172,-7.926541,78.509777
-14.179182,-8.186355,78.390979
-13.284413,-7.669759,77.818181
-13.285532,-7.670406,77.548368
-12.399205,-7.158684,76.982139
-12.843113,-7.414975,76.861016
-12.401706,-7.160128,76.445379
-12.845474,-7.416338,76.323141
-11.963722,-6.907258,75.764114
-12.405440,-7.162284,75.640760
-11.527961,-6.655672,75.086241
-11.967645,-6.909523,74.961776
-11.530703,-6.657254,74.552792
-11.970248,-6.911026,74.427227
-11.097268,-6.407011,73.879781
-11.534795,-6.659617,73.753127
-11.100121,-6.408658,73.348105
-11.101544,-6.409479,73.082366
-10.668993,-6.159746,72.679912
-11.104381,-6.411118,72.551094
-10.240032,-5.912085,72.015011
-10.673433,-6.162309,71.885133
-10.243113,-5.913864,71.486568
-10.676380,-6.164011,71.355610
-10.246183,-5.915636,70.958392
-10.679316,-6.165706,70.826352
-9.819605,-5.669351,70.299691
-10.250768,-5.918284,70.166616
-10.252291,-5.919163,69.902822
-10.253812,-5.920041,69.639093
-9.825946,-5.673012,69.247049
-10.256845,-5.921792,69.111830
-9.401726,-5.428089,68.594480
-9.830672,-5.675741,68.458247
-9.832243,-5.676648,68.195442
-10.262879,-5.925276,68.058080
-9.835375,-5.678456,67.670023
-10.265881,-5.927009,67.531590
-9.411497,-5.433730,67.021800
-9.840053,-5.681157,66.882372
-9.841607,-5.682054,66.619949
-9.843158,-5.682950,66.357589
-9.844707,-5.683844,66.095293
-9.846253,-5.684737,65.833059
