X,Y,Z
-4.673407,-2.698193,83.222615
-4.675890,-2.699626,82.962814
-4.678370,-2.701058,82.703078
-4.271758,-2.466300,82.289041
-4.683321,-2.703917,82.183799
-4.276821,-2.469224,81.771064
-4.688261,-2.706769,81.664783
-4.690726,-2.708192,81.405372
-4.693189,-2.709614,81.146026
-4.695648,-2.711034,80.886746
-4.698106,-2.712453,80.627532
-4.700559,-2.713869,80.368382
-4.703010,-2.715284,80.109296
-4.296954,-2.480847,79.701746
-4.299458,-2.482293,79.443372
-4.301957,-2.483736,79.185063
-4.304454,-2.485178,78.926817
-4.306949,-2.486618,78.668636
-4.717652,-2.723738,78.556142
-4.720082,-2.725141,78.297510
-4.722509,-2.726542,78.038942
-4.316893,-2.492359,77.636555
-4.727353,-2.729339,77.522000
-4.729770,-2.730734,77.263625
-4.732185,-2.732128,77.005311
-5.144164,-2.969984,76.889230
-5.557796,-3.208795,76.772649
-5.560083,-3.210115,76.513368
-5.975314,-3.449849,76.395764
-5.564649,-3.212751,75.994999
-6.394378,-3.691796,76.017389
-6.396533,-3.693040,75.757195
-6.814993,-3.934638,75.637523
-6.817082,-3.935844,75.376869
-7.237171,-4.178383,75.256154
-7.239194,-4.179551,74.995040
-7.660919,-4.423034,74.873271
-7.662876,-4.424164,74.611696
-8.934647,-5.158421,74.768011
-8.511345,-4.914027,74.365506
-8.513169,-4.915080,74.102933
-8.514991,-4.916132,73.840431
-9.368439,-5.408871,73.853522
-9.370129,-5.409846,73.589948
-9.371817,-5.410821,73.326442
-9.801946,-5.659156,73.199840
-10.233839,-5.908510,73.072687
-10.235391,-5.909406,72.808167
-10.668993,-6.159746,72.679912
-10.670476,-6.160602,72.414918
-11.105796,-6.411934,72.285557
-11.107209,-6.412750,72.020087
-11.544260,-6.665081,71.889607
-11.545601,-6.665856,71.623658
-11.984392,-6.919192,71.492057
-11.548278,-6.667402,71.091961
-11.986932,-6.920658,70.959266
-11.988199,-6.921390,70.692969
-12.428602,-7.175657,70.559138
-12.429798,-7.176347,70.292360
-12.871961,-7.431630,70.157385
-12.873086,-7.432279,69.890123
-13.317021,-7.688585,69.753996
-13.318073,-7.689193,69.486248
-13.319123,-7.689799,69.218567
-13.320171,-7.690404,68.950953
-13.765749,-7.947659,68.812556
-13.766725,-7.948222,68.544454
-14.662503,-8.465400,68.533911
-14.214998,-8.207033,68.136293
-14.215899,-8.207553,67.867768
-14.216799,-8.208073,67.599311
-14.665831,-8.467321,67.457443
-14.218591,-8.209107,67.062595
-14.667482,-8.468275,66.919612
-15.118256,-8.728529,66.775990
-15.119008,-8.728964,66.506613
-15.119758,-8.729396,66.237305
-15.572285,-8.990663,66.091917
-15.121252,-8.730259,65.698887
-15.573637,-8.991443,65.552375
-15.574310,-8.991832,65.282703
-15.574981,-8.992219,65.013098
-16.029128,-9.254422,64.864804
-16.029726,-9.254767,64.594701
-16.030321,-9.255110,64.324667
-16.486243,-9.518337,64.174576
-16.031507,-9.255795,63.784796
-16.032098,-9.256136,63.514959
-16.032686,-9.256476,63.245189
-16.488320,-9.519536,63.092839
-16.033857,-9.257152,62.705845
-16.489348,-9.520130,62.552366
-16.489860,-9.520425,62.282229
-16.947204,-9.784473,62.127495
-16.947642,-9.784726,61.856858
-16.948078,-9.784977,61.586285
-16.948512,-9.785228,61.315779
-17.407578,-10.050270,61.158646
-17.407938,-10.050478,60.887637
-16.949805,-9.785974,60.504653
-17.408654,-10.050891,60.345817
-17.409009,-10.051096,60.075006
-16.951082,-9.786712,59.694114
-17.409715,-10.051504,59.533577
-17.410066,-10.051706,59.262960
-17.410414,-10.051907,58.992408
-16.952761,-9.787681,58.614302
-17.411107,-10.052307,58.451499
-17.411451,-10.052506,58.181142
-17.411793,-10.052704,57.910849
-17.871939,-10.318369,57.746180
-17.412473,-10.053096,57.370454
-17.412811,-10.053291,57.100354
-17.872741,-10.318832,56.933983
-17.873005,-10.318984,56.663379
-17.873267,-10.319136,56.392839
-17.414144,-10.054061,56.020587
-17.873788,-10.319436,55.851950
-17.874045,-10.319585,55.581601
-17.874301,-10.319733,55.311316
-18.335753,-10.586152,55.140786
-17.415773,-10.055001,54.672303
-17.875061,-10.320171,54.500839
-17.875310,-10.320315,54.230806
-17.875559,-10.320459,53.960836
-17.875805,-10.320601,53.690929
-17.876051,-10.320743,53.421084
-17.876294,-10.320883,53.151302
-17.876536,-10.321023,52.881581
-17.876777,-10.321162,52.611924
-18.337513,-10.587168,52.435724
-17.877253,-10.321437,52.072794
-17.877489,-10.321573,51.803322
-18.338011,-10.587456,51.625426
-17.877955,-10.321842,51.264563
-17.878186,-10.321976,50.995276
-18.338496,-10.587736,50.815686
-17.878644,-10.322240,50.456885
-17.878870,-10.322370,50.187781
-17.879095,-10.322500,49.918739
-17.879318,-10.322629,49.649757
-17.879540,-10.322757,49.380836
-17.879760,-10.322884,49.111975
-17.879978,-10.323010,48.843175
-17.880195,-10.323135,48.574435
-17.880410,-10.323260,48.305756
-17.880624,-10.323383,48.037136
-18.340158,-10.588695,47.851349
-18.340300,-10.588777,47.582228
-17.881256,-10.323748,47.231637
-17.881463,-10.323867,46.963257
-18.340717,-10.589018,46.775223
-17.881873,-10.324104,46.426674
-17.882076,-10.324221,46.158472
-17.882277,-10.324337,45.890329
-18.341252,-10.589327,45.700051
-18.341382,-10.589402,45.431406
-17.882871,-10.324680,45.086253
-18.341637,-10.589549,44.894294
-17.883259,-10.324904,44.550495
-18.341887,-10.589693,44.357417
-17.883640,-10.325125,44.014971
-18.342130,-10.589834,43.820774
-18.342249,-10.589903,43.552540
-17.884201,-10.325448,43.212120
-18.342483,-10.590038,43.016247
-18.342598,-10.590104,42.748187
-18.342712,-10.590169,42.480185
-18.342823,-10.590234,42.212240
-18.342934,-10.590298,41.944354
-18.343042,-10.590360,41.676525
-18.343149,-10.590422,41.408752
-18.343255,-10.590483,41.141038
-17.885798,-10.326370,40.806672
-17.885967,-10.326468,40.539684
-18.343563,-10.590661,40.338235
-18.343663,-10.590719,40.070748
-18.343761,-10.590775,39.803317
-18.343857,-10.590831,39.535942
-18.343952,-10.590886,39.268624
-18.344046,-10.590940,39.001362
-18.344138,-10.590993,38.734155
-18.803258,-10.856066,38.528458
-18.344317,-10.591096,38.199910
-18.344404,-10.591147,37.932872
-18.344490,-10.591196,37.665889
-18.803337,-10.856112,37.457961
-18.344657,-10.591293,37.132088
-18.803368,-10.856130,36.923047
-17.888319,-10.327826,36.541578
-18.344897,-10.591431,36.331800
-18.344973,-10.591475,36.065147
-18.803412,-10.856155,35.853880
-18.345122,-10.591561,35.532004
-18.803426,-10.856163,35.319625
-17.889159,-10.328311,34.945796
-18.345334,-10.591683,34.732697
-17.889426,-10.328465,34.414300
-17.889558,-10.328541,34.148633
-18.345532,-10.591798,33.933876
-18.345595,-10.591834,33.667710
-18.345656,-10.591869,33.401596
-18.345716,-10.591904,33.135536
-18.345774,-10.591938,32.869529
-18.345831,-10.591970,32.603575
-17.890431,-10.329045,32.290445
-17.890550,-10.329114,32.025200
-18.345992,-10.592063,31.806030
-18.346042,-10.592092,31.540287
-17.890895,-10.329313,31.229780
-18.346139,-10.592148,31.008957
-17.891118,-10.329442,30.699759
-17.891226,-10.329504,30.434826
-17.891333,-10.329566,30.169944
-18.346313,-10.592249,29.946921
-17.891543,-10.329687,29.640335
-17.891645,-10.329746,29.375607
-17.891746,-10.329804,29.110930
-18.346463,-10.592335,28.885708
-18.346496,-10.592355,28.620533
-17.892038,-10.329973,28.317203
-17.892132,-10.330027,28.052728
-18.346588,-10.592407,27.825310
-18.802958,-10.855893,27.596885
-17.892405,-10.330185,27.259605
-17.892492,-10.330235,26.995330
-17.892579,-10.330285,26.731106
-18.802795,-10.855799,26.535089
-17.892746,-10.330382,26.202805
-18.346746,-10.592499,25.971548
-17.892906,-10.330474,25.674700
-18.346778,-10.592517,25.442348
-17.893061,-10.330563,25.146791
-18.346803,-10.592531,24.913345
-17.893208,-10.330649,24.619078
-18.346822,-10.592542,24.384538
-17.893350,-10.330730,24.091557
-18.346834,-10.592550,23.855924
-17.893484,-10.330808,23.564231
-17.893549,-10.330845,23.300639
-17.893612,-10.330882,23.037095
-18.346840,-10.592553,22.799276
-17.893734,-10.330952,22.510150
-18.801908,-10.855287,22.295815
-17.893849,-10.331019,21.983394
-18.346822,-10.592543,21.743391
-17.893957,-10.331081,21.456828
-18.346803,-10.592532,21.215735
-17.894059,-10.331140,20.930447
-18.346778,-10.592517,20.688263
-17.894155,-10.331195,20.404252
-18.346747,-10.592499,20.160980
-17.894244,-10.331246,19.878244
-18.346709,-10.592477,19.633883
-17.894326,-10.331294,19.352419
-18.346665,-10.592452,19.106969
-17.894402,-10.331338,18.826779
-17.894437,-10.331358,18.564026
-17.894471,-10.331377,18.301318
-17.894503,-10.331396,18.038657
-17.894533,-10.331414,17.776041
-18.346496,-10.592354,17.527328
-17.894589,-10.331446,17.250940
-18.346427,-10.592314,17.001142
-17.894639,-10.331474,16.726023
-18.346351,-10.592271,16.475139
-17.894682,-10.331499,16.201283
-18.346270,-10.592224,15.949313
-17.894718,-10.331520,15.676719
-17.894734,-10.331529,15.414504
-17.445363,-10.072085,15.143769
-17.894760,-10.331544,14.890206
-17.894771,-10.331551,14.628120
-18.345987,-10.592060,14.372899
-17.894787,-10.331560,14.104085
-17.894793,-10.331564,13.842131
-17.894797,-10.331566,13.580224
-17.894800,-10.331567,13.318358
-17.894801,-10.331568,13.056534
-17.894800,-10.331568,12.794754
-17.446009,-10.072458,12.530276
-17.894794,-10.331564,12.271324
-17.446118,-10.072521,12.008093
-17.446169,-10.072551,11.747065
-17.446220,-10.072580,11.486080
-17.446268,-10.072608,11.225138
-17.446315,-10.072635,10.964237
-17.894735,-10.331530,10.702062
-17.894720,-10.331521,10.440667
-17.446445,-10.072710,10.181789
-17.894684,-10.331501,9.918003
