X,Y,Z
-4.678370,-2.701058,82.703078
-4.680847,-2.702488,82.443406
-4.683321,-2.703917,82.183799
-4.276821,-2.469224,81.771064
-4.279348,-2.470683,81.512175
-4.281872,-2.472140,81.253346
-4.693189,-2.709614,81.146026
-4.286912,-2.475050,80.735888
-4.289427,-2.476502,80.477255
-4.291939,-2.477952,80.218689
-4.294447,-2.479400,79.960184
-4.296954,-2.480847,79.701746
-4.707904,-2.718109,79.591318
-4.301957,-2.483736,79.185063
-4.712784,-2.720927,79.073600
-5.125256,-2.959068,78.961659
-7.625208,-4.402416,79.592907
-5.130001,-2.961807,78.443164
-8.051756,-4.648684,79.216883
-6.791805,-3.921251,78.509021
-8.055634,-4.650922,78.690481
-8.057569,-4.652039,78.427381
-8.059500,-4.653154,78.164348
-8.061429,-4.654268,77.901382
-9.341022,-5.393042,78.079779
-8.915055,-5.147109,77.668010
-8.916849,-5.148145,77.404039
-8.918641,-5.149180,77.140134
-8.494799,-4.904474,76.731615
-9.349664,-5.398031,76.757226
-8.498495,-4.906608,76.205351
-9.353102,-5.400016,76.228679
-8.927560,-5.154329,75.821622
-8.504019,-4.909797,75.416447
-8.505855,-4.910857,75.153615
-8.507687,-4.911916,74.890843
-8.509518,-4.912972,74.628142
-8.936411,-5.159439,74.504776
-8.513169,-4.915080,74.102933
-8.939932,-5.161472,73.978499
-8.941688,-5.162486,73.715461
-8.518625,-4.918231,73.315616
-8.945192,-5.164509,73.189583
-8.946940,-5.165518,72.926741
-8.948686,-5.166526,72.663967
-8.950428,-5.167532,72.401257
-8.952167,-5.168536,72.138612
-8.953904,-5.169539,71.876030
-8.955638,-5.170540,71.613517
-8.957369,-5.171539,71.351068
-8.959097,-5.172537,71.088684
-8.960823,-5.173533,70.826362
-8.538411,-4.929654,70.433796
-8.540193,-4.930683,70.172200
-8.541972,-4.931710,69.910667
-8.967696,-5.177502,69.777729
-8.545521,-4.933759,69.387795
-8.547291,-4.934781,69.126455
-8.549058,-4.935801,68.865177
-8.550822,-4.936820,68.603965
-8.552584,-4.937836,68.342815
-8.554342,-4.938852,68.081728
-8.556098,-4.939866,67.820706
-8.557851,-4.940878,67.559744
-8.559601,-4.941888,67.298847
-8.561348,-4.942896,67.038014
-8.563092,-4.943904,66.777241
-8.988047,-5.189251,66.637962
-8.145264,-4.702670,66.135553
-8.568308,-4.946915,65.995301
-8.148852,-4.704742,65.615619
-8.571771,-4.948914,65.474320
-7.315770,-4.223762,64.861438
-8.154214,-4.707838,64.836182
-6.904073,-3.986069,64.228962
-7.738714,-4.467949,64.201118
-6.082577,-3.511778,63.486248
-6.496396,-3.750696,63.342311
-6.086703,-3.514160,62.973055
-6.088761,-3.515348,62.716549
-5.680998,-3.279926,62.349580
-5.683106,-3.281143,62.093758
-5.277260,-3.046828,61.729059
-5.687312,-3.283571,61.582291
-5.281571,-3.049317,61.218836
-5.283723,-3.050559,60.963811
-5.693597,-3.287200,60.815526
-6.105109,-3.524786,60.666613
-6.931167,-4.001711,60.623938
-6.109165,-3.527128,60.154714
-8.184100,-4.725092,60.429725
-6.936895,-4.005018,59.852943
-7.769504,-4.485725,59.806555
-7.771288,-4.486755,59.548588
-7.773070,-4.487784,59.290679
-8.192729,-4.730074,59.137007
-7.776624,-4.489836,58.775036
-8.196162,-4.732056,58.620331
-7.780167,-4.491882,58.259629
-7.781933,-4.492901,58.002011
-7.367910,-4.253865,57.643568
-7.785459,-4.494937,57.486953
-7.371543,-4.255962,57.129766
-7.788972,-4.496965,56.972126
-7.375166,-4.258054,56.616195
-7.792473,-4.498986,56.457529
-7.794219,-4.499994,56.200316
-7.795962,-4.501001,55.943162
-7.797703,-4.502006,55.686064
-7.799441,-4.503009,55.429024
-7.801175,-4.504011,55.172040
-7.802907,-4.505010,54.915113
-7.804636,-4.506009,54.658243
-7.806361,-4.507005,54.401429
-7.808085,-4.508000,54.144672
-7.809805,-4.508993,53.887972
-7.811521,-4.509984,53.631328
-7.813236,-4.510974,53.374740
-7.814947,-4.511962,53.118207
-7.401952,-4.273519,52.771645
-7.818361,-4.513933,52.605311
-7.820064,-4.514916,52.348947
-7.407230,-4.276566,52.004248
-7.823460,-4.516877,51.836385
-7.410734,-4.278589,51.492925
-7.826845,-4.518831,51.324044
-7.414226,-4.280605,50.981822
-8.246258,-4.760979,50.897845
-7.831900,-4.521750,50.555946
-7.833580,-4.522720,50.300023
-7.835256,-4.523687,50.044155
-7.836930,-4.524654,49.788342
-7.838601,-4.525619,49.532583
-7.840269,-4.526581,49.276878
-7.841933,-4.527542,49.021228
-7.429792,-4.289592,48.684558
-7.431507,-4.290583,48.429577
-7.433219,-4.291571,48.174649
-7.848565,-4.531371,47.999168
-7.850214,-4.532323,47.743787
-7.438338,-4.294526,47.410187
-7.440038,-4.295508,47.155473
-7.855149,-4.535172,46.977966
-7.856788,-4.536119,46.722800
-7.858424,-4.537063,46.467686
-7.860057,-4.538006,46.212625
-7.861688,-4.538948,45.957617
-7.863315,-4.539887,45.702662
-7.451857,-4.302332,45.373954
-7.866561,-4.541761,45.192911
-7.868179,-4.542696,44.938114
-7.869795,-4.543628,44.683369
-7.871408,-4.544560,44.428676
-8.287602,-4.784849,44.245345
-7.874626,-4.546417,43.919448
-7.463533,-4.309073,43.595000
-7.877832,-4.548269,43.410427
-7.879430,-4.549191,43.155994
-7.881026,-4.550113,42.901613
-7.882618,-4.551032,42.647283
-7.884209,-4.551950,42.393005
-7.885796,-4.552866,42.138778
-7.887379,-4.553781,41.884602
-7.888960,-4.554693,41.630477
-7.890539,-4.555605,41.376403
-7.892115,-4.556514,41.122380
-7.893687,-4.557422,40.868407
-7.895257,-4.558329,40.614485
-7.896823,-4.559233,40.360614
-7.486452,-4.322305,40.044628
-7.899948,-4.561037,39.853022
-7.901506,-4.561937,39.599301
-7.903061,-4.562835,39.345631
-7.904613,-4.563730,39.092010
-7.906162,-4.564625,38.838439
-7.907708,-4.565518,38.584917
-7.497695,-4.328796,38.273135
-7.910793,-4.567298,38.078023
-7.500880,-4.330635,37.767438
-7.913865,-4.569072,37.571326
-7.504054,-4.332467,37.261938
-7.505636,-4.333381,37.009260
-7.507216,-4.334293,36.756632
-7.508792,-4.335203,36.504052
-7.510364,-4.336111,36.251519
-7.511936,-4.337018,35.999036
-7.513502,-4.337923,35.746600
-7.515068,-4.338826,35.494213
-7.107459,-4.103494,35.190338
-7.518187,-4.340627,34.989581
-5.893854,-3.402818,34.536703
-7.521295,-4.342421,34.485141
-4.696165,-2.711332,33.891382
-6.302861,-3.638959,33.834994
-4.699970,-2.713529,33.394726
-4.701866,-2.714624,33.146467
-4.703760,-2.715717,32.898252
-4.705650,-2.716808,32.650083
-4.707537,-2.717898,32.401959
-5.107792,-2.948985,32.198429
-4.711301,-2.720071,31.905845
-5.111451,-2.951097,31.701350
