X,Y,Z
-24.116455,-13.923642,93.899126
-23.618894,-13.636375,93.427838
-23.618342,-13.636056,93.141335
-23.617788,-13.635736,92.854916
-23.617234,-13.635416,92.568578
-23.616678,-13.635096,92.282321
-23.616122,-13.634775,91.996144
-23.615565,-13.634453,91.710051
-23.615008,-13.634131,91.424039
-23.614449,-13.633809,91.138108
-23.613890,-13.633486,90.852257
-23.613330,-13.633162,90.566486
-23.612769,-13.632839,90.280800
-23.612208,-13.632515,89.995191
-23.118205,-13.347302,89.535768
-23.611083,-13.631865,89.424221
-23.610518,-13.631539,89.138857
-23.609954,-13.631213,88.853570
-23.116290,-13.346196,88.397293
-22.625127,-13.062623,87.943292
-21.650458,-12.499898,87.324228
-22.136130,-12.780301,87.208694
-20.685173,-11.942590,86.430369
-20.685101,-11.942549,86.149734
-19.729517,-11.390842,85.545300
-19.255255,-11.117027,85.106019
-18.783347,-10.844570,84.668885
-18.313773,-10.573462,84.233883
-17.846518,-10.303692,83.800997
-17.846908,-10.303917,83.524859
-17.382026,-10.035518,83.094805
-17.382489,-10.035785,82.819472
-16.919963,-9.768745,82.392231
-16.459701,-9.503013,81.967049
-16.460307,-9.503363,81.693243
-16.002365,-9.238969,81.270827
-15.546652,-8.975864,80.850435
-15.547397,-8.976294,80.578143
-15.093968,-8.714507,80.160473
-15.094781,-8.714976,79.888966
-14.643617,-8.454496,79.473995
-14.644497,-8.455004,79.203266
-14.645375,-8.455511,78.932606
-14.646250,-8.456017,78.662015
-14.197469,-8.196913,78.251129
-14.198411,-8.197456,77.981310
-14.199350,-8.197999,77.711564
-13.752864,-7.940220,77.304022
-13.753868,-7.940799,77.035039
-13.754870,-7.941378,76.766125
-13.310659,-7.684913,76.361897
-13.311725,-7.685528,76.093746
-13.312789,-7.686142,75.825661
-13.313850,-7.686755,75.557644
-12.871961,-7.431630,75.157385
-12.873086,-7.432279,74.890123
-12.874208,-7.432927,74.622928
-12.875327,-7.433574,74.355800
-12.876444,-7.434219,74.088737
-12.877559,-7.434862,73.821744
-12.878672,-7.435505,73.554814
-12.439277,-7.181820,73.160531
-12.440451,-7.182498,72.894350
-12.441624,-7.183175,72.628235
-12.442793,-7.183850,72.362185
-12.443961,-7.184524,72.096200
-12.445125,-7.185196,71.830281
-12.446288,-7.185868,71.564427
-12.447448,-7.186538,71.298637
-12.010583,-6.934314,70.910930
-12.449762,-7.187873,70.767253
-12.450914,-7.188539,70.501660
-12.452065,-7.189203,70.236129
-12.453214,-7.189866,69.970664
-12.454360,-7.190528,69.705263
-12.455503,-7.191188,69.439925
-12.896163,-7.445603,69.292883
-12.897237,-7.446223,69.027065
