X,Y,Z
-20.686254,-11.943215,86.495105
-20.686204,-11.943186,86.213064
-20.205828,-11.665840,85.756446
-20.205857,-11.665857,85.475251
-20.205885,-11.665873,85.194138
-20.205911,-11.665888,84.913098
-19.728177,-11.390068,84.461023
-19.728281,-11.390128,84.180827
-19.728384,-11.390188,83.900708
-20.206004,-11.665942,83.789731
-19.728586,-11.390304,83.340705
-20.206043,-11.665964,83.228515
-19.728782,-11.390418,82.781007
-20.206077,-11.665984,82.667608
-20.206093,-11.665993,82.387272
-20.206107,-11.666001,82.107010
-19.729160,-11.390636,81.662538
-20.206131,-11.666015,81.546723
-19.729341,-11.390741,81.103767
-19.729430,-11.390792,80.824495
-19.729517,-11.390842,80.545300
-19.729603,-11.390892,80.266179
-19.729688,-11.390941,79.987138
-19.729771,-11.390989,79.708170
-19.729853,-11.391036,79.429279
-19.729934,-11.391083,79.150466
-17.847296,-10.304141,78.248792
-18.784531,-10.845254,78.281532
-16.459094,-9.502662,77.240922
-16.001009,-9.238187,76.817061
-16.001687,-9.238579,76.543909
-15.545905,-8.975432,76.122800
-15.092336,-8.713564,75.703705
-14.640965,-8.452965,75.286611
-13.297696,-7.677428,74.585055
-13.298788,-7.678059,74.316079
-11.536155,-6.660402,73.486707
-11.101544,-6.409479,73.082366
-10.236941,-5.910301,72.543716
-10.238487,-5.911193,72.279331
-9.381886,-5.416634,71.746777
-9.811619,-5.664741,71.616958
-8.959097,-5.172537,71.088684
-9.814821,-5.666590,71.089854
-8.538411,-4.929654,70.433796
-8.964265,-5.175521,70.301917
-8.119813,-4.687976,69.782090
-9.393507,-5.423344,69.906806
-8.123483,-4.690095,69.260400
-8.971116,-5.179476,69.253798
-8.549058,-4.935801,68.865177
-8.128968,-4.693262,68.478339
-8.552584,-4.937836,68.342815
-8.554342,-4.938852,68.081728
-7.714589,-4.454020,67.573510
-8.136240,-4.697460,67.436476
-7.718333,-4.456182,67.054001
-7.720201,-4.457260,66.794340
-7.304289,-4.217133,66.414251
-7.723928,-4.459412,66.275202
-7.308128,-4.219350,65.896401
-7.727642,-4.461556,65.756312
-7.311955,-4.221559,65.378796
-7.731344,-4.463694,65.237669
-7.733191,-4.464760,64.978439
-7.317673,-4.224861,64.602849
-7.319573,-4.225957,64.344321
-7.321469,-4.227052,64.085854
-7.740549,-4.469008,63.942132
-6.909930,-3.989450,63.455471
-7.744210,-4.471121,63.424343
-7.746036,-4.472176,63.165540
-7.747859,-4.473228,62.906797
-7.749679,-4.474279,62.648115
-8.590609,-4.959791,62.613328
-7.753310,-4.476375,62.130931
-9.016182,-5.205495,62.205397
-8.175397,-4.720068,61.723933
-9.869116,-5.697937,61.907055
-8.599059,-4.964669,61.315316
-11.160323,-6.443416,61.717564
-9.873617,-5.700535,61.123520
-12.467930,-7.198363,61.525418
-11.597259,-6.695681,61.039182
-12.908897,-7.452955,61.107263
-12.034539,-6.948145,60.622017
-13.351552,-7.708522,60.687408
-12.912029,-7.454763,60.312280
-13.795905,-7.965069,60.265837
-13.354475,-7.710210,59.890976
-14.688210,-8.480242,59.951705
-13.798618,-7.966636,59.467952
-14.689748,-8.481130,59.417516
-14.690513,-8.481572,59.150517
-15.139259,-8.740655,58.990744
-14.692039,-8.482453,58.616707
-16.042406,-9.262087,58.669064
-16.042961,-9.262408,58.400460
-16.497317,-9.524730,58.237984
-16.497800,-9.525009,57.968882
-17.411793,-10.052704,57.910849
-16.954413,-9.788635,57.535518
-18.334041,-10.585163,57.580772
-17.412811,-10.053291,57.100354
-18.798233,-10.853165,57.142679
-18.334625,-10.585501,56.766866
-18.798476,-10.853305,56.598995
-18.798595,-10.853374,56.327250
-18.798712,-10.853442,56.055570
-18.798828,-10.853509,55.783954
-19.264439,-11.122329,55.613605
-18.799056,-10.853640,55.240913
-19.264521,-11.122376,55.069418
-19.264559,-11.122399,54.797421
-19.264597,-11.122420,54.525488
-19.264633,-11.122441,54.253619
-19.264668,-11.122461,53.981813
-19.731828,-11.392176,53.807243
-19.264733,-11.122499,53.438393
-19.731747,-11.392130,53.262674
-19.264793,-11.122533,52.895226
-19.731661,-11.392080,52.718359
-19.731616,-11.392054,52.446297
-19.731570,-11.392027,52.174297
-19.731522,-11.392000,51.902361
-19.731473,-11.391971,51.630488
-19.731423,-11.391942,51.358678
-19.731371,-11.391912,51.086931
-19.731318,-11.391882,50.815246
-19.731264,-11.391851,50.543623
-20.199545,-11.662213,50.361355
-19.731152,-11.391786,50.000565
-20.199287,-11.662064,49.817148
-19.731034,-11.391718,49.457755
-20.199023,-11.661912,49.273191
-20.669018,-11.933263,49.087793
-20.668812,-11.933144,48.815332
-20.668604,-11.933024,48.542932
-20.668395,-11.932903,48.270595
-20.668185,-11.932782,47.998320
-21.139904,-12.205129,47.809770
-21.139619,-12.204965,47.536979
-21.139333,-12.204800,47.264250
-21.139046,-12.204634,46.991582
-21.612574,-12.478025,46.800439
-21.612212,-12.477816,46.527254
-22.087707,-12.752344,46.334661
-21.611485,-12.477397,45.981068
-22.564745,-13.027761,45.866902
-22.564232,-13.027465,45.592675
-22.563718,-13.027169,45.318510
-22.563204,-13.026872,45.044406
-23.524583,-13.581925,44.925393
-23.041930,-13.303265,44.573082
-23.041339,-13.302923,44.298517
-23.522585,-13.580771,44.099746
-23.521918,-13.580386,43.824654
-23.521249,-13.580000,43.549623
-24.004436,-13.858968,43.348763
-23.519911,-13.579227,42.999746
-24.002946,-13.858107,42.797707
-24.002200,-13.857677,42.522271
-24.001453,-13.857245,42.246896
-24.486441,-14.137253,42.042747
-23.999957,-13.856382,41.696330
-24.484793,-14.136302,41.490998
-24.483968,-14.135825,41.215216
-23.997708,-13.855083,40.870938
-24.482316,-14.134872,40.663833
-24.481490,-14.134395,40.388233
-24.968137,-14.415360,40.179586
-24.479834,-14.133439,39.837215
-24.966329,-14.414317,39.627382
-24.965424,-14.413794,39.351370
-24.964519,-14.413272,39.075419
-25.452988,-14.695290,38.863432
-25.452007,-14.694723,38.586947
-25.451024,-14.694156,38.310522
-25.941481,-14.977321,38.096365
-25.449058,-14.693020,37.757852
-25.448074,-14.692453,37.481607
-24.958169,-14.409606,37.145440
-25.937239,-14.974872,36.988879
-25.936178,-14.974260,36.712157
-25.935117,-14.973647,36.435495
-25.934055,-14.973033,36.158892
-25.932993,-14.972420,35.882349
-25.931930,-14.971807,35.605865
-26.919144,-15.541775,35.441467
-26.422707,-15.255157,35.108312
-26.916711,-15.540370,34.886163
-26.420427,-15.253841,34.554443
-26.914277,-15.538965,34.331094
-26.418146,-15.252524,34.000811
-26.911842,-15.537559,33.776263
-26.910625,-15.536856,33.498934
-26.909407,-15.536153,33.221665
-27.405123,-15.822355,32.994876
-26.906970,-15.534746,32.667303
-26.905752,-15.534043,32.390208
-27.900283,-16.108236,32.210263
-27.898911,-16.107444,31.931963
-27.897538,-16.106651,31.653722
-27.397350,-15.817867,31.328877
-27.894792,-16.105065,31.097415
-28.394434,-16.393534,30.864881
-28.392983,-16.392696,30.586207
-28.391532,-16.391859,30.307594
-28.893234,-16.681517,30.072761
-28.891706,-16.680634,29.793596
-29.395558,-16.971533,29.557060
-28.888648,-16.678869,29.235441
-29.899969,-17.262755,29.039089
-29.390738,-16.968750,28.718082
-29.896598,-17.260809,28.478603
-29.387525,-16.966895,28.159051
-29.893228,-17.258863,27.918347
-29.891543,-17.257891,27.638306
-30.399424,-17.551115,27.395862
-30.397660,-17.550097,27.115261
-30.907734,-17.844588,26.871064
