X,Y,Z
-4.688261,-2.706769,81.664783
-4.690726,-2.708192,81.405372
-5.103754,-2.946654,81.298106
-4.695648,-2.711034,80.886746
-4.698106,-2.712453,80.627532
-4.700559,-2.713869,80.368382
-4.703010,-2.715284,80.109296
-4.705458,-2.716697,79.850274
-4.707904,-2.718109,79.591318
-4.710344,-2.719519,79.332428
-5.122879,-2.957695,79.221005
-5.125256,-2.959068,78.961659
-5.127630,-2.960438,78.702378
-5.130001,-2.961807,78.443164
-5.132369,-2.963175,78.184012
-5.134734,-2.964540,77.924929
-5.548614,-3.203494,77.810420
-5.550913,-3.204821,77.550880
-6.381376,-3.684289,77.579921
-5.968629,-3.445989,77.175362
-6.802389,-3.927361,77.202811
-6.387890,-3.688050,76.798363
-7.224967,-4.171337,76.824208
-6.808705,-3.931008,76.419872
-7.229047,-4.173692,76.301261
-7.651093,-4.417361,76.182133
-7.653064,-4.418499,75.920229
-7.655032,-4.419635,75.658390
-8.078663,-4.664218,75.537682
-8.080564,-4.665316,75.275379
-8.505855,-4.910857,75.153615
-8.507687,-4.911916,74.890843
-9.361650,-5.404951,74.908481
-8.936411,-5.159439,74.504776
-9.365050,-5.406914,74.380870
-9.795443,-5.655402,74.256421
-9.797073,-5.656343,73.992176
-9.798700,-5.657282,73.727997
-10.230726,-5.906713,73.601922
-9.801946,-5.659156,73.199840
-10.666020,-6.158030,73.210098
-10.667508,-6.158889,72.944972
-11.102964,-6.410299,72.816697
-11.104381,-6.411118,72.551094
-11.541568,-6.663527,72.421706
-11.542915,-6.664305,72.155622
-11.981842,-6.917720,72.025117
-11.983118,-6.918456,71.758553
-12.423797,-7.172882,71.626920
-11.985663,-6.919926,71.225628
-12.426204,-7.174272,71.092894
-12.427404,-7.174965,70.825983
-12.869706,-7.430328,70.692110
-12.870835,-7.430980,70.424714
-12.871961,-7.431630,70.157385
-12.873086,-7.432279,69.890123
-13.761823,-7.945392,69.885635
-13.318073,-7.689193,69.486248
-13.763790,-7.946528,69.348961
-13.764771,-7.947094,69.080725
-13.765749,-7.947659,68.812556
-13.766725,-7.948222,68.544454
-14.662503,-8.465400,68.533911
-14.663338,-8.465882,68.264693
-14.664171,-8.466363,67.995543
-14.665002,-8.466843,67.726459
-14.665831,-8.467321,67.457443
-14.666657,-8.467799,67.188494
-15.117503,-8.728094,67.045433
-15.118256,-8.728529,66.775990
-15.119008,-8.728964,66.506613
-15.119758,-8.729396,66.237305
-15.572285,-8.990663,66.091917
-15.121252,-8.730259,65.698887
-15.121996,-8.730688,65.429776
-15.574310,-8.991832,65.282703
-16.028529,-9.254076,65.134972
-15.575650,-8.992606,64.743561
-16.029726,-9.254767,64.594701
-16.030321,-9.255110,64.324667
-16.030915,-9.255453,64.054698
-16.031507,-9.255795,63.784796
-16.487285,-9.518938,63.633575
-16.487803,-9.519238,63.363173
-16.033273,-9.256814,62.975485
-16.488835,-9.519833,62.822570
-16.489348,-9.520130,62.552366
-16.489860,-9.520425,62.282229
-16.490369,-9.520719,62.012157
-16.947642,-9.784726,61.856858
-16.948078,-9.784977,61.586285
-16.948512,-9.785228,61.315779
-16.948945,-9.785478,61.045338
-17.407938,-10.050478,60.887637
-16.949805,-9.785974,60.504653
-16.950232,-9.786221,60.234408
-16.950658,-9.786467,59.964228
-17.409363,-10.051300,59.804258
-16.951504,-9.786955,59.424064
-16.951925,-9.787198,59.154079
-17.410414,-10.051907,58.992408
-17.410762,-10.052108,58.721922
-17.411107,-10.052307,58.451499
-16.953590,-9.788160,58.074782
-17.411793,-10.052704,57.910849
-16.954413,-9.788635,57.535518
-17.412473,-10.053096,57.370454
-17.412811,-10.053291,57.100354
-17.413146,-10.053485,56.830316
-17.413480,-10.053678,56.560343
-17.413813,-10.053870,56.290433
-17.414144,-10.054061,56.020587
-17.414473,-10.054251,55.750803
-17.414801,-10.054440,55.481084
-17.415126,-10.054628,55.211428
-17.874556,-10.319880,55.041094
-17.415773,-10.055001,54.672303
-17.416095,-10.055187,54.402835
-17.875310,-10.320315,54.230806
-17.875559,-10.320459,53.960836
-17.417048,-10.055737,53.594806
-17.876051,-10.320743,53.421084
-17.876294,-10.320883,53.151302
-17.876536,-10.321023,52.881581
-17.876777,-10.321162,52.611924
-18.337513,-10.587168,52.435724
-17.418910,-10.056812,51.980425
-18.337847,-10.587361,51.895464
-17.877723,-10.321708,51.533912
-17.419819,-10.057337,51.174066
-17.420119,-10.057510,50.905402
-18.338496,-10.587736,50.815686
-17.420714,-10.057854,50.368257
