X,Y,Z
-8.590609,-4.959791,62.613328
-8.592305,-4.960770,62.353606
-8.593998,-4.961747,62.093942
-8.175397,-4.720068,61.723933
-8.597375,-4.963697,61.574799
-8.178887,-4.722083,61.206070
-8.180627,-4.723087,60.947229
-8.182365,-4.724091,60.688448
-8.184100,-4.725092,60.429725
-8.185832,-4.726092,60.171063
-8.607436,-4.969505,60.018808
-8.609103,-4.970468,59.759684
-8.191010,-4.729082,59.395432
-8.192729,-4.730074,59.137007
-8.614086,-4.973345,58.982674
-8.196162,-4.732056,58.620331
-8.197873,-4.733044,58.362081
-8.199581,-4.734030,58.103891
-8.201287,-4.735015,57.845758
-8.202990,-4.735999,57.587684
-8.623977,-4.979056,57.430242
-8.206387,-4.737960,57.071710
-8.208081,-4.738938,56.813810
-8.209774,-4.739915,56.555968
-8.211461,-4.740889,56.298184
-8.213147,-4.741863,56.040457
-8.214830,-4.742834,55.782788
-7.799441,-4.503009,55.429024
-7.801175,-4.504011,55.172040
-8.219861,-4.745739,55.010124
-7.804636,-4.506009,54.658243
-7.806361,-4.507005,54.401429
-8.224865,-4.748628,54.237973
-8.226528,-4.749588,53.980703
-8.228188,-4.750547,53.723490
-8.229845,-4.751503,53.466333
-8.231500,-4.752459,53.209232
-8.233151,-4.753412,52.952188
-8.234799,-4.754363,52.695200
-8.236445,-4.755314,52.438267
-8.238088,-4.756262,52.181392
-7.823460,-4.516877,51.836385
-8.241364,-4.758154,51.667806
-8.242998,-4.759097,51.411097
-8.244629,-4.760039,51.154443
-8.246258,-4.760979,50.897845
-8.247883,-4.761918,50.641302
-7.833580,-4.522720,50.300023
-8.251126,-4.763790,50.128381
-8.252743,-4.764723,49.872002
-8.254358,-4.765656,49.615679
-8.255969,-4.766586,49.359410
-8.257577,-4.767515,49.103196
-8.259183,-4.768442,48.847037
-8.260787,-4.769367,48.590931
-8.262386,-4.770291,48.334880
-8.263983,-4.771213,48.078883
-8.265578,-4.772133,47.822940
-8.267170,-4.773053,47.567051
-8.268758,-4.773969,47.311215
-8.687332,-5.015633,47.133216
-8.271926,-4.775799,46.799705
-8.273507,-4.776711,46.544031
-8.275085,-4.777622,46.288409
-8.276659,-4.778531,46.032841
-8.278231,-4.779439,45.777326
-8.279800,-4.780345,45.521864
-8.281365,-4.781248,45.266455
-8.282928,-4.782151,45.011098
-7.869795,-4.543628,44.683369
-8.286046,-4.783951,44.500543
-8.287602,-4.784849,44.245345
-8.289153,-4.785745,43.990198
-8.290702,-4.786639,43.735104
-7.877832,-4.548269,43.410427
-8.293792,-4.788423,43.225072
-8.295332,-4.789312,42.970133
-8.296870,-4.790200,42.715247
